Experimentos de degradación de PLÁSTICO LDPE						Experimentos de degradación de PLÁSTICO LDPE pretratado con luz UV				
Wavenumber	LDPE C - control	A15F	A18A	A30C		Wavenumber	LDPE UV - Control	A15F	A18A	A30C
650.420453	0.002967946	0.002362044	0.001460388	0.002919545		650.420453	0.002922912	0.001360698	9.48E-04	0.001547011
652.284122	6.75E-04	8.02E-04	1.60E-04	5.59E-04		652.284122	6.26E-04	4.67E-05	5.86E-05	9.45E-05
654.14779	0.001550295	7.22E-04	0.00110633	0.00172832		654.14779	0.001595664	0.001423273	0.001043518	0.001316859
656.011459	0.003707445	0.002210254	0.002338291	0.003943585		656.011459	0.003742946	0.002769167	0.002006467	0.002687272
657.875128	0.005796944	0.00366211	0.003536094	0.006086697		657.875128	0.005815871	0.004084366	0.002947469	0.004016759
659.738797	0.007819001	0.005078043	0.004699788	0.008157828		659.738797	0.007814633	0.005368859	0.00386651	0.00530535
661.602466	0.009773825	0.006458074	0.005829425	0.010157154		661.602466	0.009739427	0.006622634	0.004763574	0.006553079
663.466135	0.011661623	0.007802227	0.006925054	0.012084846		663.466135	0.011590445	0.007845679	0.005638643	0.007759975
665.329804	0.0134826	0.009110523	0.007986727	0.013941079		665.329804	0.013367882	0.009037981	0.006491702	0.00892607
667.193473	0.015236962	0.010382982	0.00901449	0.015726021		667.193473	0.015071927	0.010199527	0.007322733	0.010051394
669.057142	0.016924914	0.011619625	0.010008394	0.017439843		669.057142	0.016702771	0.011330302	0.008131718	0.011135975
670.920811	0.018546656	0.012820469	0.010968484	0.019082712		670.920811	0.018260602	0.012430291	0.008918638	0.012179841
672.78448	0.02010239	0.013985534	0.011894808	0.020654794		672.78448	0.019745606	0.013499477	0.009683475	0.01318302
674.648149	0.021592315	0.015114835	0.01278741	0.022156255		674.648149	0.02115797	0.014537842	0.010426207	0.014145536
676.511817	0.023016627	0.016208387	0.013646335	0.023587255		676.511817	0.022497875	0.015545367	0.011146813	0.015067414
678.375486	0.024375521	0.017266203	0.014471625	0.024947956		678.375486	0.023765503	0.016522031	0.011845271	0.015948677
